12/14/2022,31,Light snow early. Overcast.
12/15/2022,26,Overcast.
12/16/2022,25,Overcast.
12/17/2022,22,Light snow late. Overcast.
12/18/2022,24,Afternoon clouds.
12/19/2022,29,Cloudy.Light rain.
12/20/2022,36,Snow changing to rain. Overcast.
12/21/2022,36,Light snow. Overcast.
12/22/2022,24,Breaks of sun late.
12/23/2022,27,Snow. Overcast.
12/24/2022,28,Moderate snow. Overcast.
12/25/2022,34,Cloudy.rainy.
12/26/2022,39,Cloudy.
12/27/2022,40,Partly sunny.
12/28/2022,39,Cloudy.

